publishedAt,url,author,urlToImage,source,title,description,t_score,d_score
2018-08-01T00:22:09Z,https://www.businessinsider.com/elon-musk-says-he-cant-fix-moviepass-2018-7,Bryan Logan,https://amp.businessinsider.com/images/5b60f3e1959f3419008b4885-960-480.jpg,"{'name': 'Business Insider', 'id': 'business-insider'}",Not even Elon Musk thinks he can fix MoviePass,"Tesla and SpaceX CEO Elon Musk jumped into a short exchange on Twitter Tuesday night after a user asked if he could fox the ailing movie-ticket app, MoviePass. Musk said no.",-0.7319230133024797,-0.6205932563821406
2018-07-31T19:37:00Z,https://www.bfm.ru/news/391202,BFM.ru,https://cdn.bfm.ru/news/photopreviewextralarge/2018/07/31/tass_28039752_1.jpg,"{'name': 'Www.bfm.ru', 'id': None}",Tesla в аренду,Взять напрокат прогрессивное авто от Илона Маска можно в сети магазинов электроники «Связной». Сколько стоит приоткрыть для себя дверь в автомобильное будущее?,-0.5095519989067516,-0.5095519989067516
2018-07-31T18:52:40Z,https://www.washingtonpost.com/business/economy/inside-the-tesla-factory-burning-cash-and-trying-not-to-burn-out/2018/07/31/692e491a-94e0-11e8-a679-b09212fb69c2_story.html,https://www.facebook.com/drewharwell,https://www.washingtonpost.com/resizer/IaKoTVIheyundvEacPVPjPtShoo=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/XTDTSXURT4I6RLSZAGEA5LC7DU.jpg,"{'name': 'The Washington Post', 'id': 'the-washington-post'}","Inside the Tesla Factory: Burning cash, and trying not to burn out",The automaker is running through billions of dollars — and testing workers’ limits — as it races to build its futuristic electric cars.,-0.626604359320504,-0.6838904105876311
2018-07-31T18:19:00Z,http://www.tvi24.iol.pt/lifestyle/testa/pranchas-de-surf-tesla-esgotam-num-dia-e-dobram-preco-no-outro,Redação Autoportal,http://www.iol.pt/multimedia/oratvi/multimedia/imagem/id/5a0ebd610cf2d0f9b7f5509a/600.5a0ebd610cf2d0f9b7f5509a.jpg,"{'name': 'Tvi24.iol.pt', 'id': None}",Pranchas de Surf Tesla esgotam num dia e dobram preço no outro,Duzentos exemplares desta edição limitada vão valorizando,0.4761934430506887,0.4904480010932484
2018-07-31T18:15:04Z,https://quote.rbc.ru/news/forecast_idea/5b60a42e9a794743a290f6be,,https://s.rbk.ru/v4_quote_static/current/images/social-icon.png,"{'name': 'Quote.rbc.ru', 'id': None}",Акциям Tesla предсказали снижение на 30%. Настало время продавать бумаги,"РБК Quote :: котировки, курсы валют, новости, компании.",-0.5818532372458208,0.5265841187814128
2018-07-31T17:54:00Z,https://www.welt.de/wirtschaft/article180333184/Bundeslaender-buhlen-um-Zuschlag-fuer-Musks-neue-Superfabrik.html,Philipp Vetter,https://www.welt.de/img/wirtschaft/mobile180333182/2471355947-ci16x9-w1200/Opening-of-the-new-European-Tesla-Factory-in-Tilburg-in-the-Netherlands-on.jpg,"{'name': 'Welt.de', 'id': None}",Bundesländer buhlen um Zuschlag für Musks neue Superfabrik,Tesla-Chef Elon Musk will wohl in Deutschland eine weitere Gigafactory bauen. Mehrere Bundesländer konkurrieren um die Investition. Musk hat so schon einmal Subventionen in Milliardenhöhe erhalten.,0.49810621573039265,0.39865325208153457
2018-07-31T16:34:00Z,https://www.boursorama.com/actualite-economique/actualites/tesla-a-discute-avec-l-allemagne-et-les-pays-bas-pour-une-usine-en-europe-selon-la-presse-16848c873a5a4ecd99b3268734ae7316,AFP,,"{'name': 'Boursorama.com', 'id': None}","Tesla a discuté avec l'Allemagne et les Pays-Bas pour une usine en Europe, selon la presse","Le constructeur américain de véhicules électriques haut de gamme Tesla a eu des discussions en Allemagne et aux Pays-Bas à propos de la construction de sa première usine d'importance en Europe, a rapporté le Wall Street Journal.


  Tesla a eu des pourparlers…",0.6049864005531024,0.6426927268146783
2018-07-31T16:19:19Z,http://www.lesoir.be/170745/article/2018-07-31/la-belgique-refuse-de-se-laisser-snober-par-tesla,,http://plus.lesoir.be/sites/default/files/dpistyles_v2/ena_16_9_extra_big/2018/07/31/node_170745/23056433/public/2018/07/31/B9716492206Z.1_20180731181603_000+GPEBPE5UH.1-0.jpg?itok=3oh2GtuA,"{'name': 'Lesoir.be', 'id': None}",La Belgique refuse de se laisser snober par Tesla,"On apprenait mardi que Tesla discutait avec les Pays-Bas et l’Allemagne d’un investissement colossal en vue d’implanter une méga usine. La Belgique tente de l’attirer depuis la visite de son patron, Elon Musk, en 2015.",0.6334400799399955,0.7912968095329806
2018-07-31T15:13:12Z,https://www.bfm.ru/news/391179,BFM.ru,https://cdn.bfm.ru/news/photopreviewextralarge/2018/07/31/tass_12560160.jpg,"{'name': 'Www.bfm.ru', 'id': None}","Как тебе такое, Илон Маск? Twitter начал блокировать аккаунты за упоминание основателя Tesla, но потом передумал","Пользователи социальной сети пожаловались на блокировку аккаунтов за упоминание в своих твитах американского миллиардера, главы Tesla и SpaceX Илона Маска. Похоже на шутку, но это оказалось правдой",0.512979896738641,-0.5095519989067516
2018-07-31T12:11:11Z,https://fd.nl/ondernemen/1264449/nieuwe-speculaties-over-mogelijke-komst-teslafabriek-naar-nederland,,,"{'name': 'Fd.nl', 'id': None}",Nieuwe speculaties over mogelijke komst Tesla-fabriek naar Nederland,,-0.5382848929824408,0
